RASMC_RNA_0H_1	RASMC_RNA_0H_0	RASMC_RNA_PDGF_2H_2	RASMC_RNA_PDGF_2H_0	RASMC_RNA_PDGF_2H_1	RASMC_RNA_PDGF_JQ1_2H_0	RASMC_RNA_PDGF_JQ1_2H_1	RASMC_RNA_PDGF_JQ1_2H_2	RASMC_RNA_PDGF_24H_1	RASMC_RNA_PDGF_24H_2	RASMC_RNA_PDGF_24H_0	RASMC_RNA_PDGF_JQ1_24H_2	RASMC_RNA_PDGF_JQ1_24H_1	RASMC_RNA_PDGF_JQ1_24H_0
Papss1	53.2969	68.7003	41.9595	42.1632	44.7862	62.3709	65.7417	57.1723	49.532	48.8007	57.9343	38.0236	36.7697	42.0831
Papss2	8.09077	7.40747	6.27409	6.68027	6.75983	5.67486	9.00608	6.68591	6.60078	6.26469	6.31408	0.789639	0.529764	1.00337
Paqr3	3.21255	3.51193	2.29723	1.65207	0.777996	4.91237	6.66605	3.89276	2.75888	2.18936	2.73812	5.2115	4.59654	4.71282
Paqr4	2.21682	4.00386	4.33776	5.59483	7.30538	7.15085	6.1568	5.30465	4.81753	4.34537	4.22808	5.24383	5.68451	5.60926
Paqr5	0	0	0.0483399	0	0	0	0	0.2115	0.0612291	0.0220548	0	0	0.0368862	0.161024
Paqr6	29.1303	27.7051	23.6895	21.4661	25.1517	16.1553	9.48251	18.0051	10.4021	15.3044	17.6299	1.73023	1.1569	1.62333
Paqr7	11.0561	4.78753	4.04897	4.18579	1.79977	3.28215	2.47063	2.40422	7.69286	7.38928	5.34449	3.19252	2.54892	3.37186
Paqr8	3.89556	3.3173	2.72303	3.42701	6.22487	3.54438	7.45855	4.91688	17.4243	16.6753	21.401	7.43306	5.81793	6.39264
Paqr9	0.0292033	0.0433977	0	0	0.051274	0	0	0	0	0	0.0338356	0	0	0
Pard3	9.05007	11.2017	9.47944	6.78567	10.1743	6.94387	6.40745	6.54345	9.35227	9.8003	10.2583	12.8877	12.3722	12.4394
Pard3b	3.3726	1.14633	2.60409	2.16259	4.5356	3.37227	3.7833	1.55015	2.45027	1.76518	2.7644	0.84395	0.700208	1.7703
Pard6a	0.868133	0.0921211	0.600065	0	0	0	1.11465	0	0.361929	0.984982	0.574743	1.42229	1.96414	1.6318
Pard6b	3.10621	3.58695	63.2381	63.9538	59.7829	41.9694	41.124	41.6119	2.93329	3.19469	3.98861	6.08403	6.01093	7.80962
Pard6g	5.29971	4.03387	1.78702	3.37352	8.5107	3.73827	5.23399	4.8029	5.88511	8.39777	4.34319	4.07875	2.79538	3.14643
Parg	10.2818	7.15768	6.97271	5.92549	8.88384	7.29313	7.71585	8.21193	8.72777	8.65385	10.7478	10.7184	9.59759	11.0746
Park2	0	0	0	0	0	0	0	0	0	0	0	0.164439	0	0
Park7	152.113	223.977	143.916	180.64	138.325	174.196	169.871	175.144	177.543	165.659	162.852	187.574	241.247	188
Parl	29.8329	28.6336	25.7299	27.2116	32.1965	25.25	18.6554	20.2446	34.4436	39.4296	37.2288	37.1832	42.0963	37.1643
Parm1	5.34983	2.65004	6.33948	5.22396	13.195	5.06519	2.9012	2.42147	0.594801	0.562402	0.88549	1.97311	1.81402	1.25698
Parn	21.1755	21.6308	14.7133	13.7719	12.6499	11.1057	9.74915	11.8826	24.4216	24.6369	21.0174	22.493	20.448	18.3341
Parp1	27.2106	34.0015	23.3878	18.7669	23.0018	30.3526	34.9189	33.8344	23.4977	22.1975	19.9408	27.3274	31.2212	33.123
Parp14	4.65526	4.01348	28.3103	28.9164	34.1292	10.9195	10.657	9.02791	10.8173	10.815	10.2521	2.84409	2.98966	3.7406
Parp16	7.39038	4.34993	1.68281	2.19711	0.305312	2.13732	2.15146	3.20556	8.35689	8.11648	9.43572	7.98112	8.10198	9.15199
Parp2	20.4967	23.1962	11.9421	12.1479	7.25066	7.50548	4.92187	2.68452	13.8437	14.386	11.2374	8.73792	9.2724	8.37477
Parp3	52.8662	56.6701	64.1737	60.6535	55.8621	28.8534	25.072	29.9718	86.4028	88.2028	101.477	43.128	46.5199	43.0081
Parp6	16.0568	14.8	9.83466	11.7141	15.1665	8.92729	11.8734	12.9966	12.8722	12.2111	11.3918	14.4594	14.2048	14.9426
Parp9	10.576	14.1757	38.1012	38.3488	43.6917	16.9124	15.2893	12.2926	17.8661	17.6581	20.639	5.40138	4.94401	4.47481
Parpbp	3.43217	4.08892	2.0221	1.45781	1.98326	1.80091	1.19721	1.75192	1.04817	0.657674	1.35909	0.132934	0	0.0381091
Pars2	3.00923	3.32449	1.58745	0.959559	0.521397	2.4906	3.37355	2.80558	2.63474	3.19676	2.82136	5.92896	6.36986	6.59037
Parva	219.53	225.258	213.066	178.014	210.358	207.414	201.575	210.172	141.347	118.976	153.199	65.5586	70.6938	73.7712
Parvb	5.18106	5.72385	5.79617	5.29518	6.22406	1.23222	5.6933	3.77009	22.4825	25.1117	27.2105	18.3823	16.5766	15.7869
Parvg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pask	2.76162	4.18898	2.09688	1.9739	1.33152	1.38629	1.4002	1.58265	1.23612	1.02889	0.97814	0.837343	0.226421	0.414198
Pate-f	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pate4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Patl1	14.7227	11.1798	17.4238	16.5679	14.6291	14.107	15.5041	15.546	10.218	11.7559	10.0474	12.6235	12.5615	13.7943
Patz1	11.6471	12.7104	4.93491	4.72521	8.00751	6.61968	8.50851	5.61037	11.3226	9.78044	15.5503	6.09721	5.99041	4.19262
Pawr	59.8062	59.3294	40.4996	40.386	37.269	21.3424	20.4721	16.0459	58.6426	58.8863	61.0206	27.5889	28.9784	28.3506
Pax1	0.0233321	0.104018	0.0645127	0.0289968	0	0	0	0	0	0.0294336	0	0.080316	0.172294	0
Pax2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax4	0	0	0	0	0	0.984505	0	0.352991	0	0	0	0.0781217	0	0
Pax5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax8	0.053572	0	0.222188	0.366181	0	0	0	0	0	0.0675812	0	0.0307351	0	0
Pax9	1.05045	1.26833	0.181528	0.509953	0.0288177	0.783214	0.830748	1.47501	1.16881	1.05597	0.950837	0.583824	0.744528	0.367131
Paxip1	7.72216	8.02201	8.90491	7.59571	10.6346	15.5323	16.3627	12.7447	5.12695	5.42478	5.47001	10.2464	10.8681	11.1959
Pbdc1	35.0333	40.4001	29.9371	36.8774	41.1824	25.4843	16.1331	24.8997	36.8432	38.5688	39.0005	48.8578	54.8704	46.5469
Pbk	9.95095	15.2956	6.98353	8.40192	14.6707	3.13048	1.92237	1.05022	2.08393	2.87477	1.45218	0.392222	0.360599	0.0499736
Pbld1	0.171481	0	0.23707	0.0852455	0	0	0	0	0.280263	0.173059	0.834463	0	0.0723593	0
Pbp2	0	0	0	0	0	0.0809653	0	0	0	0	0.0648736	0	0	0
Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pbx1	48.8122	41.1608	50.7914	37.3015	41.0823	22.4058	29.7007	33.3062	35.9975	32.2612	32.1015	26.481	26.0584	26.546
Pbx2	14.1655	21.4273	15.4759	14.1696	14.9632	5.92857	4.58557	4.02046	20.5165	20.6884	15.8521	6.7923	7.38669	6.90988
Pbx3	7.83553	9.15194	5.27635	4.74317	4.41655	3.80463	4.1464	5.39659	7.59456	7.87845	7.03494	2.42185	3.93466	3.0815
Pbx4	0.155321	0.0769384	0	0.0643434	0	0	0	0.178951	0.0604407	0.457188	0.719833	0.534659	0.546169	0.544975
Pbxip1	82.3616	91.0419	65.496	73.1244	71.8392	73.8294	72.9	70.7881	53.8395	49.3912	48.7603	40.9788	44.0005	43.2197
Pc	9.78428	12.7797	8.59153	8.34848	4.95708	21.2106	17.5204	21.0315	16.6503	15.2086	15.7918	15.751	15.8847	16.6313
Pcbd1	32.1106	49.9374	39.3779	34.6033	36.1496	15.2718	12.059	30.9733	61.7709	52.8886	41.6537	10.8943	19.0189	10.6677
Pcbp2	165.561	178.615	196.245	178.616	185.567	243.157	284.262	285.911	149.647	138.319	135.011	208.976	206.776	206.454
Pcbp3	6.39871	7.00908	8.61812	10.1657	11.1188	14.5943	15.6925	12.0273	2.04074	3.32865	1.71967	5.67686	5.5323	6.50968
Pcbp4	38.4124	44.1867	82.7258	67.2599	79.018	46.9358	47.4989	48.5387	46.8846	48.4997	49.2989	35.9705	37.8251	40.2739
Pcca	10.2057	17.3619	8.17051	8.12697	16.2374	10.6825	12.4639	11.2068	9.03947	8.31841	9.25678	8.82201	9.12096	9.54023
Pccb	27.8918	24.824	26.5133	28.1375	31.2669	17.5524	16.9485	22.3588	31.3172	32.8335	36.6367	18.1195	20.0305	19.426
Pcdh11x	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh12	0	0.0228345	0	0	0	0	0	0	0	0.0775362	0	0	0	0
Pcdh15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdh17	0	0	0	0	0	0	0	0.0474165	0	0	0	0	0	0
Pcdh18	1.93113	2.36561	10.2281	8.82153	8.93469	5.94337	5.1073	5.52475	5.37707	6.64996	5.12497	4.14721	3.33107	3.82853
Pcdh19	0	0	0	0.0192268	0	0	0	0	0	0	0	0	0	0
Pcdh20	9.96751	10.5202	1.68214	1.14557	2.46001	0.781972	0.995315	0.424808	7.23132	8.01576	5.01246	4.56917	4.79718	3.89727
Pcdh7	56.7479	52.3739	53.1034	42.2596	50.9363	68.1412	83.6582	72.6913	39.616	43.2653	43.3275	61.2026	57.5758	56.4985
Pcdh8	0	0	0	0	0	0	0.341893	0	0	0	0	0	0	0
Pcdh9	0	0	0.0156805	0.0845757	0	0	0	0.156814	0	0	0	0.0130144	0.0957209	0
Pcdha1	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pcdha10	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.023696	0.01	0.01	0.01	0.01	0.01
Pcdha11	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.0284978	0.01	0.01	0.01	0.01
Pcdha12	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pcdha13	0.01	0.376472	0.01	0.01	0.01	0.01	0	0.01	0.01	0.028393	0.01	0.01	0.01	0.01
Pcdha2	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pcdha3	0.01	0.01	0.01	0.01	0.0152768	0.01	0	0.01	0.01	0.0286565	0.01	0.01	0.01	0.01
Pcdha4	0.186628	0.614949	0.221046	0.107979	0.01	0.231214	0	0.109215	0.318182	0.113991	0.402307	0.01	0.115252	0.175694
Pcdha5	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.0466491	0.0270591	0.01	0.01	0.01	0.01
Pcdha6	0.225049	0.01	0.0968922	0.01	0.01	0.177361	0	0.01	0.0240795	0.0840046	0.01	0.01	0.01	0.01
Pcdha7	0.0477493	0.01	0.01	0.01	0.539929	0.01	0	0.01	0.01	0.01	0.01	0.034515	0.01	0.01
Pcdha8	0.01	0.01	0.01	0.01	0.01	0.256458	0	0.163317	0.01	0.01	0.01	0.01	0.01	0.01
Pcdha9	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.258836	0.01	0.01	0.01
Pcdhac1	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Pcdhac2	0.01	0.01	0.01	0.172592	0.01	0.01	0	0.01	0.0923033	0.0534992	0.01	0.01	0.01	0.01
Pcdhb10	0.339013	0.271272	0.0360523	0.129637	0	0	0.219987	0.270409	0.243548	0.394768	0	0.0299226	0	0
Pcdhb12	0.218096	0.0648204	0.0603028	0.0542092	0	0	0.220776	0.0753831	0.280066	0.357667	0.454843	0.0500499	0.207066	0
Pcdhb2	0.668939	0	0.269733	0.138558	1.76174	0.685167	0	0.289017	0.553153	0.351611	1.0334	0.127927	0	0
Pcdhb20	0.154237	0.859515	0.186576	0.167722	0.0677007	0.0278785	0	0.166596	0.315099	0.462104	0.156364	0.0663659	0.0406767	0
Pcdhb21	0.585635	0.167363	0.093419	0.195951	0	0.0325706	0	0.233562	0.394427	0.483048	0.495849	0	0.0475228	0
Pcdhb3	0.546006	0	0.57512	0.129251	1.00431	0.0375968	0.350931	0.044934	0.546352	1.01678	0.481993	0.149168	0	0.205262
Pcdhb4	0.235505	0.311087	0.0361757	0.130081	0	0	0.0441479	0.226112	0.152738	0.0990298	0.818582	0.030025	0.0828126	0
Pcdhb5	0.334028	0.496384	0.532833	0.191596	0	0.260082	0.867008	0.266433	0.209971	0.324136	0	0.0589652	0.0271055	0.202847
Pcdhb6	0.0580584	0	0	0	0	0	0	0	0.0677776	0	0	0	0	0
Pcdhb8	0	0	0	0.142253	0	0	0	0	0.133625	0.0721977	0	0	0	0
Pcdhb9	0.164837	0	0.0854566	0.0768211	0	0.238356	0	0.142436	0.168377	0.0259927	0.549077	0	0.0217361	0
Pcdhga1	3.82849	1.3565	2.64606	2.31323	1.96081	2.02443	3.42079	2.89945	4.32607	3.9409	3.88389	2.5504	2.62172	3.35133
Pcdhga10	0.227457	0.01	0.0809067	0.01	0.0536132	0.01	0.01	0.01	0.587044	0.37257	0.01	0.0707251	0.01	0.01
Pcdhga11	0.260089	0.01	0.040473	0.251172	1.341	0.393065	0.01	0.01	0.35242	0.289932	0.01	0.141521	0.0355798	0.45609
Pcdhga12	0.253359	0.146205	0.158108	0.01	0.01	0.01	0.01	0.051583	0.0762265	0.282357	0.01	0.172554	0.069251	0.0404219
Pcdhga2	0.832028	2.36462	1.03739	1.19428	1.37405	1.01489	0.540384	1.45855	1.61801	1.38593	2.37263	0.731921	0.350009	0.326655
Pcdhga3	0.128407	0.0494236	0.120039	0.0413163	0.79507	0.727304	0.01	0.156737	0.270545	0.408923	0.279959	0.01	0.210691	0.69626
Pcdhga5	0.01	0.01	0.0398814	0.0823194	0.01	0.01	0.294615	0.01	0.0770072	0.0814827	0.01	0.01	0.069964	0.01
Pcdhga7	1.00151	0.67398	0.899452	0.885385	0.983316	0.849942	0.722111	0.102021	2.10846	1.63416	1.36674	0.1365	0.342035	0.0799208
Pcdhga8	0.01	0.01	0.242719	0.01	0.01	0.343741	0.01	0.105692	0.0391368	0.01	0.01	0.0707251	0.01	0.01
Pcdhga9	0.01	0.01	0.01	0.163488	0.01	0.01	0.536808	0.01	0.01	0.0809274	0.01	0.173064	0.01	0.01
Pcdhgb7	0.255608	0.344281	0.916398	0.411151	0.01	0.385992	0.686781	0.416114	0.961548	0.854663	0.836163	0.487222	0.209665	0.0815397
Pcdhgb8	6.12502	7.7017	4.5172	3.3017	1.32381	2.61543	2.16566	2.19215	10.1538	10.825	10.9076	2.72397	1.71877	2.94587
Pcdhgc3	31.9127	34.5069	42.4615	34.8681	46.2291	29.6159	31.4754	32.4482	76.5247	83.1574	85.6094	34.5824	33.9397	33.9671
Pced1a	26.5412	31.9961	18.9081	17.5864	25.0832	20.2665	18.7341	23.8705	23.6335	24.6843	24.2402	32.6295	29.9987	38.9309
Pced1b	1.19168	0.70836	0.282425	0.550086	0	0.295403	0.172332	0.0588421	0.914199	0.386565	0	0.390677	0.179589	0.179196
Pcgf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcgf2	25.82	20.9504	14.0885	12.7305	10.5686	10.7656	7.48308	11.3153	24.6563	19.7164	28.0191	10.7238	8.91222	11.8107
Pcgf3	33.3565	28.702	42.9815	30.1268	48.6176	37.1195	57.7737	45.3854	27.4942	31.3886	41.559	41.7229	35.8121	44.2134
Pcgf5	19.9607	16.3078	21.6643	24.1895	24.58	18.154	20.267	20.9944	15.816	21.5914	14.7029	18.3954	20.6282	19.5492
Pcgf6	9.32808	10.7334	10.0302	9.7009	8.2458	10.2101	11.858	11.7548	5.21795	5.80198	6.56719	10.0715	9.49867	9.37562
Pcid2	13.1869	13.1624	8.5285	7.03366	4.32255	7.77467	3.86718	5.81969	11.3641	11.8874	13.7704	13.8322	14.7469	13.4413
Pcif1	10.1926	8.21154	4.5029	6.20272	3.27189	5.24875	8.91265	6.16105	7.6993	6.6641	8.7491	7.7535	7.11127	7.99549
Pck1	0	0	0	0	0	0	0	0	0.0587091	0.0317207	0.349605	0	0	0
Pck2	66.492	75.6369	53.7971	62.0437	68.576	44.1071	35.0797	38.0545	57.1849	52.96	54.2453	33.6327	34.7291	38.2818
Pclo	0	0	0	0	0	0	0	0	0.01	0.0369424	0.10179	0	0	0
Pcm1	20.3447	20.514	9.72639	11.2873	9.67812	9.80165	8.44863	6.1534	16.7376	16.1291	13.2033	10.9019	9.53085	10.8979
Pcmt1	28.9077	28.1251	30.0025	35.9958	37.0202	40.4225	48.9609	37.2631	23.5345	26.3865	25.0143	33.1053	38.9547	32.834
Pcmtd1	13.2469	17.3541	4.3604	6.37215	3.37943	9.35542	9.44193	9.47605	16.9184	15.8744	15.7605	19.0788	19.315	17.7703
Pcmtd2	10.6253	10.9251	4.55092	3.77286	8.79797	8.99121	10.3054	6.03666	12.1052	9.87412	6.90758	12.6535	11.4982	10.3951
Pcna	113.273	110.606	108.462	145.697	116.322	215.622	221.182	205.918	55.3407	57.7865	51.9635	110.474	117.877	107.851
Pcnp	82.5861	80.3307	101.096	116.073	136.301	97.925	63.3342	90.0473	82.5632	81.8307	79.3325	63.7489	82.6863	62.2347
Pcnx	23.8275	22.8849	17.0798	14.8356	17.2979	13.7114	13.6746	15.2449	17.5093	16.697	17.5416	9.62513	8.38423	8.70758
Pcolce	481.062	490.01	462.038	460.646	476.358	450.621	459.997	487.995	558.904	525.48	601.627	74.4439	73.3999	78.5747
Pcp2	5.4457	9.50001	7.20127	4.11955	0.831421	6.84744	3.99466	1.63675	7.18655	9.85662	13.7163	7.60694	11.4895	9.03445
Pcp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcp4l1	0.646075	0.960102	0.574193	0.344114	0.810252	0	1.79076	0.478523	1.18522	0.523945	0.962431	0.105904	0.438143	0.12144
Pcsk1	0	0	0	0	0	0	0	0	0.0737398	0.0956202	0	0	0	0
Pcsk1n	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk2	0	0	0	0	0	0	0	0	0.41376	0.240752	0.252706	0.0312831	0	0
Pcsk4	1.52744	1.29707	1.24438	0.101694	0.0478898	1.10435	0.966385	0.989904	2.06972	1.41075	1.80133	1.56485	0.719342	0.861324
Pcsk5	10.5125	9.30835	11.2944	8.26732	5.20048	9.23308	13.4967	11.8322	2.70672	2.1439	1.98312	6.22619	6.46693	5.49446
Pcsk6	12.0302	8.47918	9.40602	8.70536	9.96378	9.05566	13.7225	9.1928	3.46589	3.31612	3.94146	2.04041	1.3376	1.42419
Pcsk7	9.48024	12.2301	16.2023	16.0262	15.3999	31.1411	31.5799	28.7362	8.5401	10.0524	14.3571	16.8736	16.655	17.5566
Pcsk9	1.05507	1.1614	1.21551	0.849864	0.411654	0.791072	0.659279	0.742857	1.66506	1.52815	1.0866	0.0448376	0.144279	0.0257077
Pctp	1.38275	0.616451	0	0.171846	0	0	0	0	1.61423	0.348868	2.88375	0	0.437606	0
Pcyox1	50.4273	51.0329	34.3994	35.6779	40.0908	76.5776	79.6912	77.4138	47.7564	47.6536	45.4775	52.7116	45.411	51.051
Pcyox1l	23.1397	24.9462	16.0442	13.3643	22.3702	19.9119	14.8496	18.9524	21.8758	20.7738	19.6964	17.7958	21.303	20.4065
Pcyt1a	22.0001	23.6605	35.0554	26.7776	42.6887	40.4051	55.1787	47.3496	20.4934	21.7447	17.1333	32.8427	34.9799	35.8703
Pcyt1b	1.2251	1.45645	0.290345	0.391508	0	0.404916	0.295275	1.02837	1.34846	2.16365	2.7983	0.642612	0.406176	0.138166
Pcyt2	69.3471	80.1281	77.3256	71.5031	55.5463	79.3163	71.9849	79.1463	88.4384	94.1097	104.007	89.8327	90.609	94.1862
Pdap1	95.1365	112.638	114.752	130.55	102.816	106.911	75.0868	111.479	132.869	126.228	127.624	169.946	185.643	171.565
Pdc	0	0	0.0790731	0	0	0	0	0	0	0.0721534	0	0	0	0.225771
Pdcd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd10	51.6091	79.1426	64.8404	63.7733	66.7459	73.5213	70.194	54.003	50.7683	52.5592	48.6819	65.7001	70.9564	68.7571
Pdcd11	24.1547	24.9196	26.8561	25.7241	19.5412	25.0005	24.3419	24.7095	20.1618	23.1347	24.8862	40.5398	35.2621	41.6466
Pdcd1lg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdcd2	19.5045	17.5665	23.5146	23.3421	19.6016	34.4712	37.8929	26.1037	21.3896	19.7999	23.5875	29.4632	37.8258	26.0089
Pdcd2l	11.7044	10.9033	10.0629	9.26318	18.7099	12.3778	7.56483	11.4724	8.70134	9.69654	11.0647	19.1094	19.9644	17.6222
Pdcd4	54.61	65.8713	31.5857	31.7307	35.5778	36.1138	33.5037	37.2082	78.0045	71.8942	76.4786	36.5039	43.4473	39.193
Pdcd5	11.9814	7.20203	0	11.2095	1.65455	13.6266	6.58672	0.697968	0.471477	0.169827	0.623907	12.3576	0.284031	14.5248
Pdcd6	49.8196	46.8019	59.2629	66.8934	69.2818	61.2538	54.922	57.0544	64.5024	61.4535	66.9512	81.0975	87.3335	80.8177
Pdcd6ip	53.8914	50.3511	73.3964	67.4801	68.2963	65.8021	76.5345	67.3954	56.4296	60.8673	57.3658	75.413	71.8569	76.3673
Pdcd7	12.0992	13.33	5.39711	6.40725	10.5693	7.84285	5.83232	7.36483	8.55828	9.43608	7.80334	9.81382	9.05401	6.86192
Pdcl	4.52219	5.28946	2.82342	3.62588	6.81294	5.06257	5.2669	5.4455	4.87051	4.93185	5.84797	4.05069	5.26298	3.91557
Pdcl3	52.1525	60.1873	110.999	116.725	110.702	71.9177	56.9656	59.3108	44.0893	48.393	40.9109	35.9685	38.6287	33.3195
Pddc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde10a	0	0.398095	0	0.0475609	0	0.0276692	0.258266	0.165345	0.11169	0.16897	0.554251	0	0	0
Pde11a	0	0	0	0	0	0	0.323885	0	0	0	0	0	0	0
Pde12	3.79998	2.98957	7.06341	5.67499	5.32626	11.2205	10.3979	7.72607	3.83966	4.14915	4.43973	7.58456	5.28873	9.28547
Pde1a	0.0977368	0	0.630558	0.0404886	1.08682	0	0	0.0563033	0.874754	0.863066	2.45353	0	0	0
Pde1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde1c	0.102505	0	0.0283423	0.0509566	0	0	0	0	0.526525	0.413793	0.190023	0	0	0
Pde2a	0	0	0.0671482	0	0	0.163887	0.109264	0.0559577	0.0188973	0.061272	0.131315	0	0.0853997	0.127821
Pde3a	7.24827	6.71093	16.2638	12.2387	10.4941	3.23762	3.80953	4.32854	12.6039	12.9975	12.0034	3.61414	3.22267	3.8947
Pde3b	5.43188	3.45946	3.01594	2.89314	1.87657	3.38742	3.9523	4.30152	3.52099	2.93672	2.22223	1.81437	1.79165	1.96496
Pde4a	4.52905	5.32967	1.68452	2.02859	3.22921	1.52922	0.543028	0.91383	6.22659	7.0475	7.75132	3.45572	3.66215	4.96092
Pde4b	0.440261	0.467322	0.927472	0.937969	0.809801	0.424415	0.141483	0.724632	0.465013	0.132236	0.242903	0.0962225	0	0
Pde4c	1.21802	0.556938	0.777185	1.35849	2.24823	0.316127	0.421536	1.18744	1.64069	2.00932	0.94082	0.86006	0.95545	1.06842
Pde4d	0.295883	0.748673	2.59072	2.49023	4.32925	0	1.22028	1.24998	0.921119	0.539152	0.342816	0.0753838	0.0572666	0.0432484
Pde4dip	18.2165	16.4866	15.2128	14.7301	15.2153	11.526	13.2348	14.2433	11.5815	11.8773	10.7518	9.24958	8.63714	9.26439
Pde5a	11.3923	8.96275	6.8293	5.18738	6.95876	4.26373	5.36238	3.30897	2.68225	3.13998	3.1723	0.878784	0.787733	1.25963
Pde6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde6b	0	0	0	0	0	0	0	0	0.0277893	0	0	0	0	0.0313209
Pde6c	0	0	0	0.0956774	0	0	0	0	0	0	0	0	0	0
Pde6d	29.0376	27.9397	24.3559	18.4331	10.27	19.3329	9.28121	18.7735	25.4442	25.1234	29.3675	23.2511	24.5352	29.3192
Pde6h	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde7a	22.0139	17.8495	22.9328	26.1489	25.3796	21.2615	17.9939	18.2171	19.0991	16.9288	13.5567	11.4297	8.67307	11.6351
Pde7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde8a	6.40845	6.2075	11.0476	8.02881	13.7572	5.10232	3.80828	4.25968	7.96587	7.85517	9.70959	2.94725	3.91391	3.6186
Pde8b	0	0	0.0760612	0	0	0	0	0	0	0	0	0	0	0
Pde9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfa	44.5435	48.1859	154.066	143.793	165.256	166.427	172.708	181.119	86.947	98.7717	87.2546	88.1894	98.7075	90.2064
Pdgfb	15.5006	12.0313	63.7819	44.393	50.6449	22.6494	24.985	17.1558	5.98434	6.26141	7.82481	15.8719	13.2618	15.0421
Pdgfc	6.96445	14.4297	4.44381	6.32503	0	0.387334	0.903852	1.38877	15.088	14.5302	12.8796	1.53677	1.48351	1.586
Pdgfd	7.72457	3.79943	3.15861	3.58309	8.21391	1.25857	3.76291	1.88024	4.19133	5.07816	6.11364	0.499347	1.49203	0.78733
Pdgfra	9.75696	9.18629	4.66149	3.5402	4.23594	0.67251	0.801004	1.05493	18.9688	18.8966	15.0541	1.34523	1.61496	1.31311
Pdgfrb	367.843	363.338	217.124	203.141	238.965	164.169	152.505	163.335	405.503	391.438	411.023	144.72	139.894	151.25
Pdgfrl	32.0311	34.1725	25.8425	29.1725	28.0355	24.1265	24.1976	18.8377	22.2685	26.7774	26.1445	0.493702	0.50433	0.440324
Pdha1	118.302	111.691	102.158	116.635	114.896	125.751	131.745	112.608	105.542	114.699	106.376	85.2729	84.3769	78.5221
Pdha2	0	0	0	0	0	0	0	0	0	0.114616	0	0.104252	0	0
Pdhb	54.6633	51.8603	43.1759	50.5192	42.6332	60.4552	60.8972	61.9123	44.8412	50.0626	49.8711	67.6834	80.1042	62.5779
Pdhx	6.92476	5.23883	7.02047	7.24988	9.65289	4.61218	4.88566	9.35636	6.61418	5.82373	13.2747	9.92005	11.8652	9.71877
Pdia3	649.992	675.223	752.607	825.393	801.386	1051.93	990.054	1002.2	835.384	860.091	835.66	638.865	703.143	634.569
Pdia4	165.509	174.792	173.398	174.229	179.268	197.33	217.266	204.824	222.567	232.924	247.178	138.113	135.453	131.111
Pdia5	13.5488	14.0526	18.8958	20.3441	23.2304	26.1415	14.2784	19.2952	11.5496	11.9292	20.3935	4.42226	4.904	4.60052
Pdia6	395.772	428.248	438.443	476.089	448.189	480.55	459.015	462.18	505.712	517.205	522.537	198.935	221.395	195.099
Pdik1l	2.49705	2.41729	1.2625	1.56052	1.05221	3.19811	2.14256	2.26869	1.99891	2.08803	1.4879	2.39039	3.0105	2.74107
Pdilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0
